rewire_id,text,tokenized_text,true_label,predicted_label,prediction_probability,token_count,avg_token_length
sexism2022_english-2524,i bet her future husband wont have anywhere near that much sex during his marriage lifetime with her,"[""['bet'"", ""'future'"", ""'husband'"", ""'lifetime'"", ""'marriage'"", ""'near'"", ""'sex'"", ""'wont']""]",1,0,0.4300344920613669,8,7.625
sexism2022_english-10894,real men arent violent real women are if i said that on rfeminism i would be banned instantly and if i said it in real life i would be labeled a sexist but since its a man its ok because men are violent arent they,"[""['arent'"", ""'banned'"", ""'instantly'"", ""'labeled'"", ""'life'"", ""'man'"", ""'men'"", ""'ok'"", ""'real'"", ""'said'"", ""'sexist'"", ""'violent'"", ""'women']""]",1,0,0.3962827257647326,13,7.153846153846154
sexism2022_english-14810,im sure that kinder gentler baboon troop was soon overtaken by the dump defenders troop with the young being massacred and the females being taken as spoils yeah sounds pretty great,"[""['dump'"", ""'females'"", ""'great'"", ""'im'"", ""'pretty'"", ""'soon'"", ""'sounds'"", ""'sure'"", ""'taken'"", ""'yeah'"", ""'young']""]",1,0,0.4182536408279118,11,6.909090909090909
sexism2022_english-8889,most here would fuck her,"[""['fuck']""]",1,0,0.3444984215124933,1,8.0
sexism2022_english-14409,but dont you miss having a first lady that could beat most men in a bar brawlor at least bomichaeli mean michelleor whatever hiher name waswas so mawomanly thats the one,"[""['bar'"", ""'beat'"", ""'dont'"", ""'having'"", ""'lady'"", ""'mean'"", ""'men'"", ""'miss'"", ""'thats']""]",1,0,0.2955515083940285,9,6.333333333333333
sexism2022_english-10203,whats the going timeframe onto getting on gab nowadays im trying to recruit hardcore since twat is going crazy with censorship,"[""['crazy'"", ""'gab'"", ""'getting'"", ""'going'"", ""'hardcore'"", ""'im'"", ""'nowadays'"", ""'trying'"", ""'twat'"", ""'whats']""]",1,0,0.3887179750892,10,7.5
sexism2022_english-8650,lol being an ugly dyke and an annoying jew are plenty enough reason to find her unwatchable,"[""['annoying'"", ""'dyke'"", ""'jew'"", ""'lol'"", ""'plenty'"", ""'reason'"", ""'ugly']""]",1,0,0.3768647208212033,7,7.142857142857143
sexism2022_english-16274,this slug showed up at the hearing with her boobs drooping and prison tats on her neck,"[""['boobs'"", ""'hearing'"", ""'neck'"", ""'prison'"", ""'showed']""]",1,0,0.2779684134745833,5,8.0
sexism2022_english-18919,i would bang gregs woman provided it wasnt a man at some point,"[""['bang'"", ""'man'"", ""'point'"", ""'provided'"", ""'wasnt'"", ""'woman']""]",1,0,0.441759724250638,6,7.333333333333333
sexism2022_english-11943,she like mccuck is a true liberal thru and thru,"[""['liberal'"", ""'like'"", ""'true']""]",0,1,0.7748014849948748,3,7.666666666666667
sexism2022_english-12467,user h hours ago shouldnt the most infamous loser in history shut her pie hole at this point its becoming an authentic tragedy tumblinghag url,"[""['ago'"", ""'history'"", ""'hole'"", ""'hours'"", ""'loser'"", ""'point'"", ""'shouldnt'"", ""'shut'"", ""'url'"", ""'user']""]",1,0,0.2079729100079791,10,7.0
sexism2022_english-4337,the iron maiden the toughest tranny in town,"[""['town'"", ""'tranny']""]",0,1,0.7948257672279472,2,8.0
sexism2022_english-7938,the view empty head emotional womans daily bitchcraft lesson,"[""['daily'"", ""'emotional'"", ""'head'"", ""'lesson'"", ""'view'"", ""'womans']""]",1,0,0.342582223478782,6,8.0
sexism2022_english-7239,why did he move out shes the cheater she should be forced out,"[""['did'"", ""'forced'"", ""'shes']""]",1,0,0.2587806747698674,3,7.0
sexism2022_english-1823,in my mind i wanted her hoe hands off me she was being rude couple weeks before that she tried to have a way with me unrelated but she sucks i definitely should have bottom line youre right,"[""['couple'"", ""'definitely'"", ""'hands'"", ""'hoe'"", ""'line'"", ""'mind'"", ""'right'"", ""'rude'"", ""'sucks'"", ""'tried'"", ""'wanted'"", ""'way'"", ""'weeks'"", ""'youre']""]",1,0,0.3009934965656032,14,7.142857142857143
sexism2022_english-9477,not really when it comes to approaching them most women dont like to be approached they might say they do but then when they do get approached they dont like it and call the guy a creep,"[""['approached'"", ""'approaching'"", ""'comes'"", ""'creep'"", ""'dont'"", ""'guy'"", ""'like'"", ""'really'"", ""'say'"", ""'women']""]",1,0,0.3893243510060311,10,7.8
sexism2022_english-3172,go getchu sum white womens time to turn it around be a pimp before is too late,"[""['late'"", ""'pimp'"", ""'time'"", ""'turn'"", ""'white'"", ""'womens']""]",0,1,0.6772416967990714,6,6.833333333333333
sexism2022_english-17781,white girl is trash truly surprising,"[""['girl'"", ""'surprising'"", ""'trash'"", ""'truly'"", ""'white']""]",1,0,0.3867059288554053,5,8.2
sexism2022_english-6304,come to think of it see what i did there in my experience an awful lot of women who are in dire need of an iq upgrade seem to be trying this out,"[""['awful'"", ""'come'"", ""'did'"", ""'experience'"", ""'iq'"", ""'lot'"", ""'need'"", ""'think'"", ""'trying'"", ""'women']""]",1,0,0.378313128489521,10,6.9
sexism2022_english-14500,if you said it it would be a lie you lack honor clearly you are a female,"[""['clearly'"", ""'female'"", ""'honor'"", ""'lack'"", ""'lie'"", ""'said']""]",1,0,0.4027722262201541,6,7.166666666666667
sexism2022_english-12554,fuck sorry to hear that bro dont think about roping from find ways to cope women are shallow its just the way it works,"[""['bro'"", ""'cope'"", ""'dont'"", ""'fuck'"", ""'hear'"", ""'just'"", ""'shallow'"", ""'sorry'"", ""'think'"", ""'way'"", ""'ways'"", ""'women'"", ""'works']""]",1,0,0.2487196220945072,13,6.538461538461538
sexism2022_english-766,thank you for giving these examples it seems that whilst helping women gain status society forgot men which is incredibly sad i hope society realises its mistakes and sorts them out,"[""['examples'"", ""'forgot'"", ""'gain'"", ""'giving'"", ""'helping'"", ""'hope'"", ""'incredibly'"", ""'men'"", ""'mistakes'"", ""'sad'"", ""'society'"", ""'sorts'"", ""'status'"", ""'thank'"", ""'whilst'"", ""'women']""]",1,0,0.4614044533327607,16,7.9375
sexism2022_english-3734,you shouldve hit her,"[""['hit'"", ""'shouldve']""]",1,0,0.3977769888866951,2,8.5
sexism2022_english-3111,isnt it great when youve taken the red pill and can see this shit like an xray mgtow red for life,"[""['great'"", ""'isnt'"", ""'life'"", ""'like'"", ""'mgtow'"", ""'pill'"", ""'red'"", ""'shit'"", ""'taken'"", ""'youve']""]",0,1,0.5019664424066658,10,6.5
sexism2022_english-3409,its already happening in western europea lot of men are not protecting women from the abuses of the invading shit hordes,"[""['happening'"", ""'hordes'"", ""'invading'"", ""'lot'"", ""'men'"", ""'protecting'"", ""'shit'"", ""'western'"", ""'women']""]",0,1,0.6505244297473677,9,8.333333333333334
sexism2022_english-17020,they are just so pissed off cuz no woman wants neither one of them and they know it both little fat round pigs who probably play tiddlywinks together,"[""['cuz'"", ""'fat'"", ""'just'"", ""'know'"", ""'little'"", ""'pigs'"", ""'pissed'"", ""'play'"", ""'probably'"", ""'round'"", ""'wants'"", ""'woman']""]",0,1,0.5576784899811419,12,6.916666666666667
sexism2022_english-5696,companies make a fortune selling stuff to girls so that they can look like theyre then they make a fortune selling stuff to women so that they can look like theyre,"[""['companies'"", ""'girls'"", ""'like'"", ""'look'"", ""'make'"", ""'selling'"", ""'stuff'"", ""'theyre'"", ""'women']""]",0,1,0.5452749287228758,9,7.666666666666667
sexism2022_english-19134,beware the liars its up to you if you want to give her one more chance but if she flakes on that then just forget her,"[""['chance'"", ""'forget'"", ""'just'"", ""'liars'"", ""'want']""]",0,1,0.5148255587392656,5,7.4
sexism2022_english-15130,there are no women in my life so its not like thats an accomplishment,"[""['life'"", ""'like'"", ""'thats'"", ""'women']""]",0,1,0.8826890143713961,4,7.0
sexism2022_english-5988,a false dichotomy apparently we believe that women are pure so long as they remain virgins till we wed them and if she is impurified by some vile other mans cock then shes a slut,"[""['apparently'"", ""'believe'"", ""'cock'"", ""'false'"", ""'long'"", ""'mans'"", ""'pure'"", ""'remain'"", ""'shes'"", ""'slut'"", ""'till'"", ""'vile'"", ""'virgins'"", ""'wed'"", ""'women']""]",0,1,0.8898084950973967,15,7.133333333333334
sexism2022_english-14339,take it easy on the shine stay away from other boys women thats one damn good way for a man to get it whooped down these boys tough down here get your ass tore up down here url,"[""['ass'"", ""'away'"", ""'boys'"", ""'damn'"", ""'easy'"", ""'good'"", ""'man'"", ""'stay'"", ""'thats'"", ""'tough'"", ""'url'"", ""'way'"", ""'women']""]",0,1,0.6941092848975263,13,6.076923076923077
sexism2022_english-479,spoken as if women are prizes not wanting to be becky bucks means they are prizes lol thats bare minimum self respect if theyre not catches then work on becoming catches dont settle for a manchild,"[""['bucks'"", ""'dont'"", ""'lol'"", ""'means'"", ""'minimum'"", ""'respect'"", ""'self'"", ""'settle'"", ""'spoken'"", ""'thats'"", ""'theyre'"", ""'wanting'"", ""'women'"", ""'work']""]",0,1,0.5992244654140262,14,7.428571428571429
sexism2022_english-1907,you cant bargain attraction but you can tell people to get a reality check if women expect a ferrari on a toyota camry budget then they need a wakeup call,"[""['attraction'"", ""'budget'"", ""'check'"", ""'expect'"", ""'need'"", ""'people'"", ""'reality'"", ""'tell'"", ""'women']""]",1,0,0.4926610971967648,9,8.11111111111111
sexism2022_english-8224,i kind of want to make a troll account and just posed women or trash and get it report it and see if its taken down just to see,"[""['account'"", ""'just'"", ""'kind'"", ""'make'"", ""'report'"", ""'taken'"", ""'trash'"", ""'troll'"", ""'want'"", ""'women']""]",0,1,0.6466850324081135,10,7.1
sexism2022_english-6776,no data shows that women think of men are below average,"[""['average'"", ""'data'"", ""'men'"", ""'shows'"", ""'think'"", ""'women']""]",0,1,0.7549867586747384,6,7.166666666666667
sexism2022_english-13961,so thats what happened when i was physically and emotionally abused by my feminist mother for the first years of my life privilege,"[""['abused'"", ""'emotionally'"", ""'feminist'"", ""'happened'"", ""'life'"", ""'mother'"", ""'physically'"", ""'privilege'"", ""'thats'"", ""'years']""]",0,1,0.6015256763803957,10,9.4
sexism2022_english-4657,how many fat women who got wimps locked actually started working out,"[""['actually'"", ""'fat'"", ""'got'"", ""'locked'"", ""'started'"", ""'women'"", ""'working']""]",0,1,0.5728729034706075,7,7.857142857142857
sexism2022_english-19449,yupyou are a womanas close to being an emotional animal as it gets you refuse to thinkas long as i make you feel good you are the least of my concerns you are a beast with boobies you will teach me nothing except how to hate women,"[""['animal'"", ""'beast'"", ""'close'"", ""'emotional'"", ""'feel'"", ""'gets'"", ""'good'"", ""'hate'"", ""'long'"", ""'make'"", ""'refuse'"", ""'teach'"", ""'women']""]",1,0,0.4347487454175326,13,7.153846153846154
sexism2022_english-13846,if i say bad things about women my wiener wont get action,"[""['action'"", ""'bad'"", ""'say'"", ""'things'"", ""'women'"", ""'wont']""]",0,1,0.5839362334650052,6,6.833333333333333
sexism2022_english-808,her mother should have been schooled on the proper use of a clothes hanger,"[""['clothes'"", ""'mother'"", ""'proper'"", ""'use']""]",1,0,0.4153884021792008,4,8.0
sexism2022_english-14132,the mormans have female cucks we literally outlawed it because its bad for scociety,"[""['bad'"", ""'cucks'"", ""'female'"", ""'literally']""]",0,1,0.5985461121325392,4,8.25
sexism2022_english-2369,is life experience attractive to women ive seen some evidence of this but never was sure about it,"[""['attractive'"", ""'evidence'"", ""'experience'"", ""'ive'"", ""'life'"", ""'seen'"", ""'sure'"", ""'women']""]",0,1,0.6186023178984211,8,8.25
sexism2022_english-16690,how can she hit with stick,"[""['hit'"", ""'stick']""]",0,1,0.6729958042768311,2,7.0
sexism2022_english-13616,all minority characters are good only exception if they are male all their skill is immediately superseded by any woman,"[""['good'"", ""'immediately'"", ""'male'"", ""'minority'"", ""'woman']""]",0,1,0.6115198511027828,5,8.8
sexism2022_english-13823,i dont know about you but i generally have sex with individual people not the amalgamation of all women everywhere and women are a lot more different from each other than they are from men,"[""['different'"", ""'dont'"", ""'generally'"", ""'individual'"", ""'know'"", ""'lot'"", ""'men'"", ""'people'"", ""'sex'"", ""'women']""]",0,1,0.7082989053523058,10,7.8
sexism2022_english-13421,not comparable do you hear men bragging about their girlfriends vagina size never happens,"[""['bragging'"", ""'girlfriends'"", ""'happens'"", ""'hear'"", ""'men'"", ""'size'"", ""'vagina']""]",0,1,0.6475057513522603,7,8.428571428571429
sexism2022_english-11744,well you kinda gotta lower your standards a bit and your dating pool may open heck i even fingered a junkie girl,"[""['bit'"", ""'dating'"", ""'girl'"", ""'gotta'"", ""'heck'"", ""'kinda'"", ""'lower'"", ""'open'"", ""'pool'"", ""'standards']""]",1,0,0.3418917818032246,10,7.1
sexism2022_english-4583,it like how us men can move our penis like a muscle woman can also do the same nd thats its cool,"[""['cool'"", ""'like'"", ""'men'"", ""'muscle'"", ""'nd'"", ""'penis'"", ""'thats'"", ""'woman']""]",0,1,0.5861076621774037,8,6.5
sexism2022_english-10111,correction conservatives are prone to media witch hunts pinning dubious sex harassment claims on them liberals are prone to media hiding their sex harassment cases for them url,"[""['cases'"", ""'claims'"", ""'conservatives'"", ""'harassment'"", ""'hiding'"", ""'liberals'"", ""'media'"", ""'sex'"", ""'url'"", ""'witch']""]",0,1,0.604795710570177,10,8.6
sexism2022_english-17820,this is why hollywood she never be allowed to have an opinion of any kind or to speak publicly without having had a psych evaluation from an actual group of trained drs in the field of liberal psychsociopathic behavior,"[""['actual'"", ""'allowed'"", ""'behavior'"", ""'field'"", ""'group'"", ""'having'"", ""'hollywood'"", ""'kind'"", ""'liberal'"", ""'opinion'"", ""'publicly'"", ""'speak'"", ""'trained']""]",0,1,0.5062996864758643,13,8.615384615384615
sexism2022_english-10155,my girlfriend is mentally retarded or if you want to be politically correct a feminist,"[""['correct'"", ""'feminist'"", ""'girlfriend'"", ""'mentally'"", ""'politically'"", ""'retarded'"", ""'want']""]",1,0,0.4633719010194702,7,10.285714285714286
sexism2022_english-15343,i really dont get why you are upset you litterally lost nothing you didnt even get sex so what was she good for other than that,"[""['didnt'"", ""'dont'"", ""'good'"", ""'lost'"", ""'really'"", ""'sex'"", ""'upset']""]",1,0,0.1873919576089684,7,6.714285714285714
sexism2022_english-14345,you cant get women because you have a shit personality maybe you are just creepy and it turns women away,"[""['away'"", ""'creepy'"", ""'just'"", ""'maybe'"", ""'personality'"", ""'shit'"", ""'turns'"", ""'women']""]",0,1,0.7672556425559725,8,7.75
sexism2022_english-519,is she willfully blind or just stupid,"[""['blind'"", ""'just'"", ""'stupid']""]",0,1,0.5661743958686787,3,7.666666666666667
sexism2022_english-2408,so women should have sex with incels theyre not attracted to but you shouldnt have to have sex with someone youre not attracted to its called hypocrisy,"[""['attracted'"", ""'called'"", ""'hypocrisy'"", ""'incels'"", ""'sex'"", ""'shouldnt'"", ""'theyre'"", ""'women'"", ""'youre']""]",0,1,0.5152729774519718,9,8.555555555555555
sexism2022_english-13270,female reporter j owen old man spits at female reporter just for showing up to aclu event youtube url,"[""['event'"", ""'female'"", ""'just'"", ""'man'"", ""'old'"", ""'reporter'"", ""'showing'"", ""'url'"", ""'youtube']""]",0,1,0.5137417993875847,9,7.333333333333333
sexism2022_english-1839,remember herman cain presidential campaign sexual misconduct accusations woman came forward as that mess settle down democrats found another woman then democrats found more women that sunk his campaign what are the odds url,"[""['accusations'"", ""'came'"", ""'campaign'"", ""'democrats'"", ""'forward'"", ""'mess'"", ""'misconduct'"", ""'odds'"", ""'presidential'"", ""'remember'"", ""'settle'"", ""'sexual'"", ""'url'"", ""'woman'"", ""'women']""]",1,0,0.2487717966621264,15,8.933333333333334
sexism2022_english-19591,some white man needs to rescue her from her crazy ass judeomarxist parents,"[""['ass'"", ""'crazy'"", ""'man'"", ""'needs'"", ""'parents'"", ""'rescue'"", ""'white']""]",1,0,0.3562716992348582,7,7.142857142857143
sexism2022_english-11990,he thinks something is wrong with him i dont see how buying a hooker is going to help op with his women problems if he thinks something is wrong with him why not work on himself and then try and get girls after he feels better about himself,"[""['better'"", ""'buying'"", ""'dont'"", ""'feels'"", ""'girls'"", ""'going'"", ""'help'"", ""'hooker'"", ""'op'"", ""'problems'"", ""'thinks'"", ""'try'"", ""'women'"", ""'work'"", ""'wrong']""]",0,1,0.5660918839231366,15,7.066666666666666
sexism2022_english-3608,some people should never be bald forceps are a bitch,"[""['bald'"", ""'bitch'"", ""'people']""]",0,1,0.9821483956161208,3,7.666666666666667
sexism2022_english-5209,hasnt twatface twatted about the horror at her concertit is probably putting some vicks under her demoneyes showing how sad she is,"[""['horror'"", ""'probably'"", ""'putting'"", ""'sad'"", ""'showing']""]",1,0,0.2894288504908082,5,8.6
sexism2022_english-12222,wow she is speaking at a suicide prevention type confrence and express to kill all men men are the majority on suicideswtf,"[""['kill'"", ""'majority'"", ""'men'"", ""'speaking'"", ""'suicide'"", ""'type'"", ""'wow']""]",0,1,0.5502450700612994,7,7.571428571428571
sexism2022_english-14398,i forget that some people think men should be happy for being turned down wild worldview to have anyone man woman or other can be upset about not getting sex without it being disturbing,"[""['disturbing'"", ""'forget'"", ""'getting'"", ""'happy'"", ""'man'"", ""'men'"", ""'people'"", ""'sex'"", ""'think'"", ""'turned'"", ""'upset'"", ""'wild'"", ""'woman']""]",0,1,0.524740402490922,13,7.384615384615385
sexism2022_english-5214,i think that the issue is shes bitching about others who make more when it was her own choices that made her earn less,"[""['bitching'"", ""'choices'"", ""'earn'"", ""'issue'"", ""'make'"", ""'shes'"", ""'think']""]",1,0,0.4875953329690668,7,7.571428571428571
sexism2022_english-2033,there have been plenty of men both with and without children who have been squarely responsible for driving the west into the dirt along with these women do not make politics into a gender war,"[""['children'"", ""'dirt'"", ""'driving'"", ""'gender'"", ""'make'"", ""'men'"", ""'plenty'"", ""'politics'"", ""'responsible'"", ""'war'"", ""'west'"", ""'women']""]",0,1,0.7099638188882501,12,7.916666666666667
sexism2022_english-5945,user if you can tell if i am trolling or not trolling then its not a very good troll but other times i just hate women youll never know,"[""['good'"", ""'hate'"", ""'just'"", ""'know'"", ""'tell'"", ""'times'"", ""'troll'"", ""'trolling'"", ""'user'"", ""'women'"", ""'youll']""]",1,0,0.2532774794000854,11,6.909090909090909
sexism2022_english-5848,isnt that a female,"[""['female'"", ""'isnt']""]",0,1,0.5326791254876312,2,8.0
sexism2022_english-14066,keep droning boys sdsdsdsd,"[""['boys']""]",0,1,0.5230731977389307,1,8.0
sexism2022_english-7934,if youre chad with a dick she will find another chad maybe not an incel but fuck i can sympathize,"[""['chad'"", ""'dick'"", ""'fuck'"", ""'incel'"", ""'maybe'"", ""'youre']""]",1,0,0.4494481609313692,6,6.833333333333333
sexism2022_english-2797,lmao im down with women replacing god the future is female,"[""['female'"", ""'future'"", ""'god'"", ""'im'"", ""'lmao'"", ""'women']""]",0,1,0.5668258983631138,6,6.666666666666667
sexism2022_english-13038,i wonder what a yo woman did to him,"[""['did'"", ""'woman'"", ""'wonder'"", ""'yo']""]",0,1,0.6709529616731421,4,6.5
sexism2022_english-7642,what do you think about that should i pay her pay whatever shes minimally entitled to legally but kick her ass to the curb,"[""['ass'"", ""'curb'"", ""'entitled'"", ""'kick'"", ""'legally'"", ""'pay'"", ""'shes'"", ""'think']""]",1,0,0.4902774727011355,8,7.0
sexism2022_english-5994,i am so sick of this pay gap bullshit what about the hire gap if you are up against a woman for a job kiss your chances goodbye she will get hired of the time,"[""['bullshit'"", ""'chances'"", ""'gap'"", ""'goodbye'"", ""'hire'"", ""'hired'"", ""'job'"", ""'kiss'"", ""'pay'"", ""'sick'"", ""'time'"", ""'woman']""]",1,0,0.4231884662729622,12,6.916666666666667
sexism2022_english-14249,its not women who are the problem here the bigger problem here and in general is the blue pill simps soy boys and tradcons,"[""['bigger'"", ""'blue'"", ""'boys'"", ""'general'"", ""'pill'"", ""'problem'"", ""'simps'"", ""'soy'"", ""'women']""]",0,1,0.5932910291176158,9,7.222222222222222
sexism2022_english-16073,put her in a plane then fly over her shit hole and push her out job done,"[""['fly'"", ""'hole'"", ""'job'"", ""'plane'"", ""'push'"", ""'shit']""]",1,0,0.3413029381877192,6,6.166666666666667
sexism2022_english-9257,ah whatever every woman is going to lose with you guys i rest my case,"[""['ah'"", ""'case'"", ""'going'"", ""'guys'"", ""'lose'"", ""'rest'"", ""'woman']""]",0,1,0.5448416322350622,7,6.285714285714286
sexism2022_english-12159,i didnt imply that everyone man who doesnt identify as a feminist believes these things about women i implied that your thats right yours and not just people who arent feminists worldview is one of oppression and wanting to keep women down,"[""['arent'"", ""'believes'"", ""'didnt'"", ""'doesnt'"", ""'feminist'"", ""'feminists'"", ""'identify'"", ""'just'"", ""'man'"", ""'oppression'"", ""'people'"", ""'right'"", ""'thats'"", ""'things'"", ""'wanting'"", ""'women']""]",0,1,0.8204966036648582,16,8.375
sexism2022_english-14434,obvious satire nobody is this stupid,"[""['obvious'"", ""'stupid']""]",0,1,0.5782176359874324,2,9.5
sexism2022_english-17740,because most women keep having to tell me not to fix things and just show sympathy what not fix what the vast vast majority do not pay half wow you are right actually youre the only one who pays taxes no one else,"[""['actually'"", ""'fix'"", ""'half'"", ""'having'"", ""'just'"", ""'majority'"", ""'pay'"", ""'pays'"", ""'right'"", ""'sympathy'"", ""'taxes'"", ""'tell'"", ""'things'"", ""'vast'"", ""'women'"", ""'wow'"", ""'youre']""]",0,1,0.5313016769050567,17,7.117647058823529
sexism2022_english-4954,date rule is a common thing girls have for sex maybe not a kiss,"[""['common'"", ""'date'"", ""'girls'"", ""'kiss'"", ""'maybe'"", ""'rule'"", ""'sex'"", ""'thing']""]",0,1,0.5725526368214237,8,6.75
sexism2022_english-16340,well if you have a penis you have to wear skinny jeans and be a beta if you own a vagina dont wash it for a week and bow up and act tough but be sure to scream you hit a girl if youre punched oh and if you see a car coming move out of the way,"[""['act'"", ""'beta'"", ""'bow'"", ""'car'"", ""'coming'"", ""'dont'"", ""'girl'"", ""'hit'"", ""'jeans'"", ""'oh'"", ""'penis'"", ""'punched'"", ""'scream'"", ""'skinny'"", ""'sure'"", ""'tough'"", ""'vagina'"", ""'wash'"", ""'way'"", ""'wear'"", ""'week'"", ""'youre']""]",1,0,0.4587369817674829,22,6.454545454545454
sexism2022_english-8739,and kill their women and then get away with it scofffree because sanctuary cities will treat us like firstclass citizens in need of special protection from the big bad evil cheeto hitler drumpfffff,"[""['away'"", ""'bad'"", ""'big'"", ""'cities'"", ""'citizens'"", ""'evil'"", ""'hitler'"", ""'kill'"", ""'like'"", ""'need'"", ""'protection'"", ""'special'"", ""'treat'"", ""'women']""]",1,0,0.4881297740550503,14,7.357142857142857
sexism2022_english-146,that hug could turn into a false sexual assault or rape conviction down the roadthis is damn good advice for mennever touch any girl or womanlet them wither on the vine from lack of attention,"[""['advice'"", ""'assault'"", ""'attention'"", ""'damn'"", ""'false'"", ""'girl'"", ""'good'"", ""'hug'"", ""'lack'"", ""'rape'"", ""'sexual'"", ""'touch'"", ""'turn']""]",1,0,0.492102165731451,13,7.153846153846154
sexism2022_english-19239,start looking for another job yesterday pal this cancer this tumor is going to leave a wide trail pun intended in her wake as long as the managers keep bending over backwards for her,"[""['cancer'"", ""'going'"", ""'job'"", ""'leave'"", ""'long'"", ""'looking'"", ""'start'"", ""'wake'"", ""'wide'"", ""'yesterday']""]",1,0,0.3007429007143268,10,7.4
sexism2022_english-5676,we do not accept girls since they can lose their virginity whenever they want maybe try to join other subs like rforeveralonewomen,"[""['accept'"", ""'girls'"", ""'join'"", ""'like'"", ""'lose'"", ""'maybe'"", ""'subs'"", ""'try'"", ""'virginity'"", ""'want']""]",1,0,0.3431951769261013,10,7.0
sexism2022_english-19122,pimps and domestic abusers force women and children to do this with dogs when women are free we are the largest group volunteering in animal shelters and rescuing animals in need,"[""['abusers'"", ""'animal'"", ""'animals'"", ""'children'"", ""'dogs'"", ""'domestic'"", ""'force'"", ""'free'"", ""'group'"", ""'largest'"", ""'need'"", ""'women']""]",0,1,0.585351864002408,12,8.0
sexism2022_english-8088,what they wont tell you about is the chiefs who run shit like the fucking mafia where they play the big pimp and force the girls into it or haze them day in and day out,"[""['big'"", ""'day'"", ""'force'"", ""'fucking'"", ""'girls'"", ""'like'"", ""'pimp'"", ""'play'"", ""'run'"", ""'shit'"", ""'tell'"", ""'wont']""]",0,1,0.6285090961822166,12,6.333333333333333
sexism2022_english-16129,bad for girls these strategies do not create attraction but it is fantastic advice when applied to other men buy it today url,"[""['advice'"", ""'attraction'"", ""'bad'"", ""'buy'"", ""'create'"", ""'fantastic'"", ""'girls'"", ""'men'"", ""'today'"", ""'url']""]",1,0,0.2933388441455871,10,7.5
sexism2022_english-7005,are your chromosomes xx if so youre female,"[""['chromosomes'"", ""'female'"", ""'xx'"", ""'youre']""]",1,0,0.2816173349318561,4,8.5
sexism2022_english-10231,when a girl gives you shit test scare the shit out of her,"[""['girl'"", ""'gives'"", ""'shit'"", ""'test']""]",1,0,0.4629263455351447,4,6.75
sexism2022_english-12259,i would love to suck her tits,"[""['love'"", ""'suck'"", ""'tits']""]",0,1,0.7062121061662332,3,6.666666666666667
