rewire_id,text,label_sexist
sexism2022_english-1084,cope all women i have known have insta rejected me,0
sexism2022_english-19077,the minute she started her campaign against her demise was sealed,0
sexism2022_english-6779,user fuck the muslims ship them off to syria so trump can bomb them,0
sexism2022_english-8455,me a black dude approaching a white blonde stacy lite,0
sexism2022_english-11010,imagine if thats actually the bf dog and he knows what kind of shit she is up to good doggo,0
sexism2022_english-15727,they being smarter than corbyn most probably used him as a tool as he is in normal lifenow used by momentum as they tell him when to take a shit,0
sexism2022_english-8947,thats hillarys comment to her lol,0
sexism2022_english-10006,can we kick california out of the union already or at least part of it,0
sexism2022_english-18218,hey thankfully she posted an article online about all her venereal diseases now people know to avoid,0
sexism2022_english-18796,iran they show her their genitals yet she refuses to keep silent she screams her mum comes to her help the harassers even attack the mother the daughter films their altercation url,0
sexism2022_english-12722,thats fucking terrible for croatia,0
sexism2022_english-13986,if it happened to a girl then the boy would be in deep shit no matter the age or gender its still technically sexual assault,0
sexism2022_english-16722,muslim rape gang rapes young mother url,0
sexism2022_english-15948,mr president stop attacking the press says rhino john mccain hey mccain dont you have something better to do dont you have a wife or somebody to betray mr moral failure,0
sexism2022_english-125,as a feminist this video is disgusting and these women should be in jail,0
sexism2022_english-14074,i wish i could post a big fuck you dipshits on facebook without my grandma taking it personal,0
sexism2022_english-2190,yea excatly its when you start overthinking thats when it gets bad i always notice that as soon as i get feelings for someone i know im fucked but i cant help it i just wanna be with her,0
sexism2022_english-19271,girls like me really appreciate loveletters and songs anon i think its really sweet of you how else would i reinforce my false sense of genetic superiority if it wasnt for simps,0
sexism2022_english-9392,because she said roshansbae that probably means shes in a relatiobship jfl she can get laid but we cant,0
sexism2022_english-19898,lets be fair thats also how saudi men treat saudi women so,0
sexism2022_english-15710,today are started days to masculinity i will be committed to go all the days no matter what focus on me and my frame i refuse to be in her frame,0
sexism2022_english-7435,old lady who questions the holocaust labeled nazi grandma sent to prison disgusting attack on this woman if the holocaust was true then why does it have to be protected by law url,0
sexism2022_english-19487,this is his wife you caused a suicide attempt i have your information and have called the police to report the assault,0
sexism2022_english-9414,oh dear lord when men pretend to be women why do people play make believe with these people dude you look like a lumberjack with a bad wig you arent fooling anyone steve join a comedic theater group,0
sexism2022_english-8532,i think she doesnt know her rices,0
sexism2022_english-13367,if she doesnt hit you up the next day send her a text,0
sexism2022_english-662,he deleted the comments on the original video now url dont let this die a woman killed her kid and trouble,0
sexism2022_english-6760,story of my life what the fuck i just youtubed story of my life because of your comment and instead of the social distortion song youtube came up with a one direction song fuck my life,0
sexism2022_english-8897,ive treated some women badly but i didnt do any permanent damage they were lessons learned god forgives me and i forgive myself fortunately ive grown as a person since then,0
sexism2022_english-17470,if mccabe is endeavoring to fuck trump whether literally or figuratively it violates his oath to uphold the us constitution do cucks words matter his wife is paid by peoples enemy url,0
sexism2022_english-9860,not enough attraction i only ask for numbers now if she is clearly very receptive to meeting up basically on the brink of asking for it herself,0
sexism2022_english-12798,user you are correct if they are fleeing war hunger deprivation and leaving the women and children behind is that the kind of male we want in our countries i wouldnt breed a mongrel with a purebred because i wouldnt want to degrade the stock,0
